X,pre1,pre2,level,post
~F|~T|J,[|[|[~F][~T]]J],| | ~ F ~ T J ,| | J ~ ~ ? ? F ? T ? ? ? ,F ~ T ~ | J | 
~L|~I|~Q-F,[-[|[|[~L][~I]][~Q]]F],- | | ~ L ~ I ~ Q F ,- | F | ~ ? ? ~ ~ Q ? ? ? L ? I ? ? ? ? ? ? ,L ~ I ~ | Q ~ | F - 
W-X^V,[-W[^XV]],#NAME?,- W ^ ? ? X V ,W X V ^ - 
M|H|~F,[|[|MH][~F]],| | M H ~ F ,| | ~ M H F ? ,M H | F ~ | 
~N^G|~Y^~H,[|[^[~N]G][^[~Y][~H]]],| ^ ~ N G ^ ~ Y ~ H ,| ^ ^ ~ G ~ ~ N ? ? ? Y ? H ? ,N ~ G ^ Y ~ H ~ ^ | 
S|Y-~U,[-[|SY][~U]],- | S Y ~ U ,- | ~ S Y U ? ,S Y | U ~ - 
N-~H|~C,[-N[|[~H][~C]]],- N | ~ H ~ C ,- N | ? ? ~ ~ ? ? H ? C ? ,N H ~ C ~ | - 
~J-V^~Z^~L,[-[~J][^[^V[~Z]][~L]]],- ~ J ^ ^ V ~ Z ~ L ,- ~ ^ J ? ^ ~ ? ? ? V ~ L ? ? ? ? ? ? Z ? ? ? ? ,J ~ V Z ~ ^ L ~ ^ - 
I|~G|~A|~Z-~L,[-[|[|[|I[~G]][~A]][~Z]][~L]],- | | | I ~ G ~ A ~ Z ~ L ,- | ~ | ~ L ? | ~ Z ? ? ? ? I ~ A ? ? ? ? ? ? ? ? ? G ? ? ? ? ? ? ? ? ? ? ,I G ~ | A ~ | Z ~ | L ~ - 
~H-~I^~G,[-[~H][^[~I][~G]]],- ~ H ^ ~ I ~ G ,- ~ ^ H ? ~ ~ ? ? ? I ? G ? ,H ~ I ~ G ~ ^ - 
~B-V|~Z,[-[~B][|V[~Z]]],- ~ B | V ~ Z ,- ~ | B ? V ~ ? ? ? ? ? Z ? ,B ~ V Z ~ | - 
V^~S-~W,[-[^V[~S]][~W]],- ^ V ~ S ~ W ,- ^ ~ V ~ W ? ? ? S ? ? ? ? ,V S ~ ^ W ~ - 
~M|L^Q|~H^~D,[|[|[~M][^LQ]][^[~H][~D]]],| | ~ M ^ L Q ^ ~ H ~ D ,| | ^ ~ ^ ~ ~ M ? L Q H ? D ? ,M ~ L Q ^ | H ~ D ~ ^ | 
E^~A-I,[-[^E[~A]]I],- ^ E ~ A I ,- ^ I E ~ ? ? ? ? A ? ? ? ,E A ~ ^ I - 
~Y|~T|P-~U|~H,[-[|[|[~Y][~T]]P][|[~U][~H]]],- | | ~ Y ~ T P | ~ U ~ H ,- | | | P ~ ~ ~ ~ ? ? U ? H ? Y ? T ? ? ? ? ? ? ? ? ? ,Y ~ T ~ | P | U ~ H ~ | - 
V^~R-V^~R,[-[^V[~R]][^V[~R]]],- ^ V ~ R ^ V ~ R ,- ^ ^ V ~ V ~ ? ? R ? ? ? R ? ,V R ~ ^ V R ~ ^ - 
G^~B-~K|R^H,[-[^G[~B]][|[~K][^RH]]],- ^ G ~ B | ~ K ^ R H ,- ^ | G ~ ~ ^ ? ? B ? K ? R H ,G B ~ ^ K ~ R H ^ | - 
~N^~E^~Z^B,[^[^[^[~N][~E]][~Z]]B],^ ^ ^ ~ N ~ E ~ Z B ,^ ^ B ^ ~ ? ? ~ ~ Z ? ? ? N ? E ? ? ? ? ? ? ,N ~ E ~ ^ Z ~ ^ B ^ 
~H|~P-E^~I|B,[-[|[~H][~P]][|[^E[~I]]B]],- | ~ H ~ P | ^ E ~ I B ,- | | ~ ~ ^ B H ? P ? E ~ ? ? ? ? ? ? ? ? ? ? I ? ? ? ,H ~ P ~ | E I ~ ^ B | - 
~V|~F|~K,[|[|[~V][~F]][~K]],| | ~ V ~ F ~ K ,| | ~ ~ ~ K ? V ? F ? ? ? ? ,V ~ F ~ | K ~ | 
L-~T-U|B|~T,[-L[-[~T][|[|UB][~T]]]],- L - ~ T | | U B ~ T ,- L - ? ? ~ | ? ? T ? | ~ ? ? ? ? ? U B T ? ,L T ~ U B | T ~ | - - 
T^~K^~K-N,[-[^[^T[~K]][~K]]N],- ^ ^ T ~ K ~ K N ,- ^ N ^ ~ ? ? T ~ K ? ? ? ? ? K ? ? ? ? ? ? ,T K ~ ^ K ~ ^ N - 
W^~Q-~T,[-[^W[~Q]][~T]],- ^ W ~ Q ~ T ,- ^ ~ W ~ T ? ? ? Q ? ? ? ? ,W Q ~ ^ T ~ - 
V^Z^~U,[^[^VZ][~U]],^ ^ V Z ~ U ,^ ^ ~ V Z U ? ,V Z ^ U ~ ^ 
~E|A|~J,[|[|[~E]A][~J]],| | ~ E A ~ J ,| | ~ ~ A J ? E ? ? ? ? ? ? ,E ~ A | J ~ | 
J^~W^D,[^[^J[~W]]D],^ ^ J ~ W D ,^ ^ D J ~ ? ? ? ? W ? ? ? ,J W ~ ^ D ^ 
B^~M^N-M-~K,[-[^[^B[~M]]N][-M[~K]]],- ^ ^ B ~ M N - M ~ K ,- ^ - ^ N M ~ B ~ ? ? ? ? K ? ? ? M ? ? ? ? ? ? ? ? ,B M ~ ^ N ^ M K ~ - - 
~O|P-~F-~B,[-[|[~O]P][-[~F][~B]]],- | ~ O P - ~ F ~ B ,- | - ~ P ~ ~ O ? ? ? F ? B ? ,O ~ P | F ~ B ~ - - 
~T|~P^J-~U-J,[-[|[~T][^[~P]J]][-[~U]J]],- | ~ T ^ ~ P J - ~ U J ,- | - ~ ^ ~ J T ? ~ J U ? ? ? ? ? ? P ? ? ? ? ? ? ? ? ,T ~ P ~ J ^ | U ~ J - - 
~C|~U|K,[|[|[~C][~U]]K],| | ~ C ~ U K ,| | K ~ ~ ? ? C ? U ? ? ? ,C ~ U ~ | K | 
~R-~I|~E-G,[-[~R][-[|[~I][~E]]G]],- ~ R - | ~ I ~ E G ,- ~ - R ? | G ? ? ? ~ ~ ? ? ? ? ? I ? E ? ? ? ,R ~ I ~ E ~ | G - - 
~T|J-O|~Q-P,[-[|[~T]J][-[|O[~Q]]P]],- | ~ T J - | O ~ Q P ,- | - ~ J | P T ? ? ? O ~ ? ? ? ? ? ? ? ? ? Q ? ? ? ,T ~ J | O Q ~ | P - - 
~W-B^~Y^~N,[-[~W][^[^B[~Y]][~N]]],- ~ W ^ ^ B ~ Y ~ N ,- ~ ^ W ? ^ ~ ? ? ? B ~ N ? ? ? ? ? ? Y ? ? ? ? ,W ~ B Y ~ ^ N ~ ^ - 
M|V-~S-~E^P,[-[|MV][-[~S][^[~E]P]]],- | M V - ~ S ^ ~ E P ,- | - M V ~ ^ ? ? ? ? S ? ~ P ? ? ? ? ? ? ? E ? ? ? ,M V | S ~ E ~ P ^ - - 
L-I|L^C,[-L[|I[^LC]]],- L | I ^ L C ,- L | ? ? I ^ ? ? ? ? L C ,L I L C ^ | - 
~C^~X^~B^~B-~W,[-[^[^[^[~C][~X]][~B]][~B]][~W]],- ^ ^ ^ ~ C ~ X ~ B ~ B ~ W ,- ^ ~ ^ ~ W ? ^ ~ B ? ? ? ? ~ ~ B ? ? ? ? ? ? ? C ? X ? ? ? ? ? ? ? ? ? ? ,C ~ X ~ ^ B ~ ^ B ~ ^ W ~ - 
J|H|F,[|[|JH]F],| | J H F ,| | F J H ? ? ,J H | F | 
O-S-~A-G,[-O[-S[-[~A]G]]],- O - S - ~ A G ,- O - ? ? S - ? ? ? ? ~ G ? ? ? ? A ? ? ? ,O S A ~ G - - - 
E-G|~X|~A,[-E[|[|G[~X]][~A]]],- E | | G ~ X ~ A ,- E | ? ? | ~ ? ? G ~ A ? ? ? ? ? X ? ? ? ? ,E G X ~ | A ~ | - 
M^X^T^~K,[^[^[^MX]T][~K]],^ ^ ^ M X T ~ K ,^ ^ ~ ^ T K ? M X ? ? ? ? ? ,M X ^ T ^ K ~ ^ 
T^~C-~I-~A^J,[-[^T[~C]][-[~I][^[~A]J]]],- ^ T ~ C - ~ I ^ ~ A J ,- ^ - T ~ ~ ^ ? ? C ? I ? ~ J ? ? ? ? ? ? ? ? A ? ? ? ,T C ~ ^ I ~ A ~ J ^ - - 
~H^O-~Z-~Q^~F,[-[^[~H]O][-[~Z][^[~Q][~F]]]],- ^ ~ H O - ~ Z ^ ~ Q ~ F ,- ^ - ~ O ~ ^ H ? ? ? Z ? ~ ~ ? ? ? ? ? ? ? ? Q ? F ? ,H ~ O ^ Z ~ Q ~ F ~ ^ - - 
I^~U|~F-H,[-[|[^I[~U]][~F]]H],- | ^ I ~ U ~ F H ,- | H ^ ~ ? ? I ~ F ? ? ? ? ? U ? ? ? ? ? ? ,I U ~ ^ F ~ | H - 
~Y^~X|~P,[|[^[~Y][~X]][~P]],| ^ ~ Y ~ X ~ P ,| ^ ~ ~ ~ P ? Y ? X ? ? ? ? ,Y ~ X ~ ^ P ~ | 
I^~X-~G,[-[^I[~X]][~G]],- ^ I ~ X ~ G ,- ^ ~ I ~ G ? ? ? X ? ? ? ? ,I X ~ ^ G ~ - 
~W^U-W|E,[-[^[~W]U][|WE]],- ^ ~ W U | W E ,- ^ | ~ U W E W ? ? ? ? ? ? ? ,W ~ U ^ W E | - 
~B^N-~C-~N,[-[^[~B]N][-[~C][~N]]],- ^ ~ B N - ~ C ~ N ,- ^ - ~ N ~ ~ B ? ? ? C ? N ? ,B ~ N ^ C ~ N ~ - - 
N|N-J|M-~J,[-[|NN][-[|JM][~J]]],- | N N - | J M ~ J ,- | - N N | ~ ? ? ? ? J M J ? ,N N | J M | J ~ - - 
~U-~Q^A^~B^K,[-[~U][^[^[^[~Q]A][~B]]K]],- ~ U ^ ^ ^ ~ Q A ~ B K ,- ~ ^ U ? ^ K ? ? ? ^ ~ ? ? ? ? ? ~ A B ? ? ? ? ? ? Q ? ? ? ? ? ? ? ? ,U ~ Q ~ A ^ B ~ ^ K ^ - 
D-~L|~H,[-D[|[~L][~H]]],- D | ~ L ~ H ,- D | ? ? ~ ~ ? ? L ? H ? ,D L ~ H ~ | - 
~V|~A|D,[|[|[~V][~A]]D],| | ~ V ~ A D ,| | D ~ ~ ? ? V ? A ? ? ? ,V ~ A ~ | D | 
~A|V-H^B|~A,[-[|[~A]V][|[^HB][~A]]],- | ~ A V | ^ H B ~ A ,- | | ~ V ^ ~ A ? ? ? H B A ? ,A ~ V | H B ^ A ~ | - 
W-Z-D,[-W[-ZD]],#NAME?,- W - ? ? Z D ,W Z D - - 
Q|I|M^N,[|[|QI][^MN]],| | Q I ^ M N ,| | ^ Q I M N ,Q I | M N ^ | 
~S|G|~L,[|[|[~S]G][~L]],| | ~ S G ~ L ,| | ~ ~ G L ? S ? ? ? ? ? ? ,S ~ G | L ~ | 
~O^~F^G,[^[^[~O][~F]]G],^ ^ ~ O ~ F G ,^ ^ G ~ ~ ? ? O ? F ? ? ? ,O ~ F ~ ^ G ^ 
Z|~K|Q|~K,[|[|[|Z[~K]]Q][~K]],| | | Z ~ K Q ~ K ,| | ~ | Q K ? Z ~ ? ? ? ? ? ? ? K ? ? ? ? ? ? ,Z K ~ | Q | K ~ | 
~I-~I^~F,[-[~I][^[~I][~F]]],- ~ I ^ ~ I ~ F ,- ~ ^ I ? ~ ~ ? ? ? I ? F ? ,I ~ I ~ F ~ ^ - 
U-~P|N,[-U[|[~P]N]],- U | ~ P N ,- U | ? ? ~ N ? ? P ? ? ? ,U P ~ N | - 
R-~E^A,[-R[^[~E]A]],- R ^ ~ E A ,- R ^ ? ? ~ A ? ? E ? ? ? ,R E ~ A ^ - 
V|~X|N,[|[|V[~X]]N],| | V ~ X N ,| | N V ~ ? ? ? ? X ? ? ? ,V X ~ | N | 
~K|~W|~R,[|[|[~K][~W]][~R]],| | ~ K ~ W ~ R ,| | ~ ~ ~ R ? K ? W ? ? ? ? ,K ~ W ~ | R ~ | 
~Z-Q^~T,[-[~Z][^Q[~T]]],- ~ Z ^ Q ~ T ,- ~ ^ Z ? Q ~ ? ? ? ? ? T ? ,Z ~ Q T ~ ^ - 
V^A|~Y|X,[|[|[^VA][~Y]]X],| | ^ V A ~ Y X ,| | X ^ ~ ? ? V A Y ? ? ? ,V A ^ Y ~ | X | 
I-~Z|S|~E,[-I[|[|[~Z]S][~E]]],- I | | ~ Z S ~ E ,- I | ? ? | ~ ? ? ~ S E ? ? ? Z ? ? ? ? ? ? ,I Z ~ S | E ~ | - 
T^Y-U^~R^~X,[-[^TY][^[^U[~R]][~X]]],- ^ T Y ^ ^ U ~ R ~ X ,- ^ ^ T Y ^ ~ ? ? ? ? U ~ X ? ? ? ? ? ? ? R ? ? ? ? ,T Y ^ U R ~ ^ X ~ ^ - 
~K^R|I,[|[^[~K]R]I],| ^ ~ K R I ,| ^ I ~ R ? ? K ? ? ? ? ? ,K ~ R ^ I | 
~U-L|H^C^V,[-[~U][|L[^[^HC]V]]],- ~ U | L ^ ^ H C V ,- ~ | U ? L ^ ? ? ? ? ? ^ V ? ? ? ? ? H C ? ? ,U ~ L H C ^ V ^ | - 
~H^~V-O-~I,[-[^[~H][~V]][-O[~I]]],- ^ ~ H ~ V - O ~ I ,- ^ - ~ ~ O ~ H ? V ? ? ? I ? ,H ~ V ~ ^ O I ~ - - 
H-Z-~B^~W^X,[-H[-Z[^[^[~B][~W]]X]]],- H - Z ^ ^ ~ B ~ W X ,- H - ? ? Z ^ ? ? ? ? ^ X ? ? ? ? ~ ~ ? ? ? ? ? ? B ? W ? ? ? ,H Z B ~ W ~ ^ X ^ - - 
~L^~Y^A,[^[^[~L][~Y]]A],^ ^ ~ L ~ Y A ,^ ^ A ~ ~ ? ? L ? Y ? ? ? ,L ~ Y ~ ^ A ^ 
K-~H|~R,[-K[|[~H][~R]]],- K | ~ H ~ R ,- K | ? ? ~ ~ ? ? H ? R ? ,K H ~ R ~ | - 
~W^P^~T|T|~W,[|[|[^[^[~W]P][~T]]T][~W]],| | ^ ^ ~ W P ~ T T ~ W ,| | ~ ^ T W ? ^ ~ ? ? ? ? ? ~ P T ? ? ? ? ? ? W ? ? ? ? ? ? ? ? ? ? ? ,W ~ P ^ T ~ ^ T | W ~ | 
T|Z-~M|~F-~K,[-[|TZ][-[|[~M][~F]][~K]]],- | T Z - | ~ M ~ F ~ K ,- | - T Z | ~ ? ? ? ? ~ ~ K ? ? ? ? ? M ? F ? ? ? ? ,T Z | M ~ F ~ | K ~ - - 
~P-Z-~S^I^P,[-[~P][-Z[^[^[~S]I]P]]],- ~ P - Z ^ ^ ~ S I P ,- ~ - P ? Z ^ ? ? ? ? ? ^ P ? ? ? ? ? ~ I ? ? ? ? ? ? ? S ? ? ? ? ? ,P ~ Z S ~ I ^ P ^ - - 
~L^~B-H,[-[^[~L][~B]]H],- ^ ~ L ~ B H ,- ^ H ~ ~ ? ? L ? B ? ? ? ,L ~ B ~ ^ H - 
Y^~L^~J,[^[^Y[~L]][~J]],^ ^ Y ~ L ~ J ,^ ^ ~ Y ~ J ? ? ? L ? ? ? ? ,Y L ~ ^ J ~ ^ 
D^~A-~B,[-[^D[~A]][~B]],- ^ D ~ A ~ B ,- ^ ~ D ~ B ? ? ? A ? ? ? ? ,D A ~ ^ B ~ - 
~H|I-~Q|~V,[-[|[~H]I][|[~Q][~V]]],- | ~ H I | ~ Q ~ V ,- | | ~ I ~ ~ H ? ? ? Q ? V ? ,H ~ I | Q ~ V ~ | - 
N|~F^I,[|N[^[~F]I]],| N ^ ~ F I ,| N ^ ? ? ~ I ? ? F ? ? ? ,N F ~ I ^ | 
~H-N-L|A^~F,[-[~H][-N[|L[^A[~F]]]]],- ~ H - N | L ^ A ~ F ,- ~ - H ? N | ? ? ? ? ? L ^ ? ? ? ? ? ? ? A ~ ? ? ? ? ? ? ? ? ? F ? ,H ~ N L A F ~ ^ | - - 
S^D|V|~K^~J,[|[|[^SD]V][^[~K][~J]]],| | ^ S D V ^ ~ K ~ J ,| | ^ ^ V ~ ~ S D ? ? K ? J ? ,S D ^ V | K ~ J ~ ^ | 
~S|F-~B,[-[|[~S]F][~B]],- | ~ S F ~ B ,- | ~ ~ F B ? S ? ? ? ? ? ? ,S ~ F | B ~ - 
N|~H-S,[-[|N[~H]]S],- | N ~ H S ,- | S N ~ ? ? ? ? H ? ? ? ,N H ~ | S - 
I-~P|L|N,[-I[|[|[~P]L]N]],- I | | ~ P L N ,- I | ? ? | N ? ? ~ L ? ? ? ? P ? ? ? ? ? ,I P ~ L | N | - 
Y-R-P-G|~L,[-Y[-R[-P[|G[~L]]]]],- Y - R - P | G ~ L ,- Y - ? ? R - ? ? ? ? P | ? ? ? ? ? ? G ~ ? ? ? ? ? ? ? ? L ? ,Y R P G L ~ | - - - 
~P-~T^~K|~L,[-[~P][|[^[~T][~K]][~L]]],- ~ P | ^ ~ T ~ K ~ L ,- ~ | P ? ^ ~ ? ? ? ~ ~ L ? ? ? ? T ? K ? ? ? ? ,P ~ T ~ K ~ ^ L ~ | - 
~R-N|~S,[-[~R][|N[~S]]],- ~ R | N ~ S ,- ~ | R ? N ~ ? ? ? ? ? S ? ,R ~ N S ~ | - 
E^~K-~S,[-[^E[~K]][~S]],- ^ E ~ K ~ S ,- ^ ~ E ~ S ? ? ? K ? ? ? ? ,E K ~ ^ S ~ - 
~F-B^A-~C-X,[-[~F][-[^BA][-[~C]X]]],- ~ F - ^ B A - ~ C X ,- ~ - F ? ^ - ? ? ? B A ~ X ? ? ? ? ? ? ? C ? ? ? ,F ~ B A ^ C ~ X - - - 
~F|T|C|Y^C,[|[|[|[~F]T]C][^YC]],| | | ~ F T C ^ Y C ,| | ^ | C Y C ~ T ? ? ? ? ? ? F ? ? ? ? ? ? ? ? ? ,F ~ T | C | Y C ^ | 
~U-T^F^~C^K,[-[~U][^[^[^TF][~C]]K]],- ~ U ^ ^ ^ T F ~ C K ,- ~ ^ U ? ^ K ? ? ? ^ ~ ? ? ? ? ? T F C ? ? ? ,U ~ T F ^ C ~ ^ K ^ - 
X^Q-K|L-~A,[-[^XQ][-[|KL][~A]]],- ^ X Q - | K L ~ A ,- ^ - X Q | ~ ? ? ? ? K L A ? ,X Q ^ K L | A ~ - - 
F^~U^~J,[^[^F[~U]][~J]],^ ^ F ~ U ~ J ,^ ^ ~ F ~ J ? ? ? U ? ? ? ? ,F U ~ ^ J ~ ^ 
U-~W-~W-~P,[-U[-[~W][-[~W][~P]]]],- U - ~ W - ~ W ~ P ,- U - ? ? ~ - ? ? W ? ~ ~ ? ? ? ? ? W ? P ? ,U W ~ W ~ P ~ - - - 
~I^D|Q^~H-D,[-[|[^[~I]D][^Q[~H]]]D],- | ^ ~ I D ^ Q ~ H D ,- | D ^ ^ ? ? ~ D Q ~ ? ? I ? ? ? ? ? H ? ? ? ,I ~ D ^ Q H ~ ^ | D - 
~H^L|~K-J|R,[-[|[^[~H]L][~K]][|JR]],- | ^ ~ H L ~ K | J R ,- | | ^ ~ J R ~ L K ? ? ? ? ? H ? ? ? ? ? ? ? ? ? ? ,H ~ L ^ K ~ | J R | - 
K|~P^I^~H,[|K[^[^[~P]I][~H]]],| K ^ ^ ~ P I ~ H ,| K ^ ? ? ^ ~ ? ? ~ I H ? ? ? P ? ? ? ? ? ? ,K P ~ I ^ H ~ ^ | 
~A-F^~H-Q,[-[~A][-[^F[~H]]Q]],- ~ A - ^ F ~ H Q ,- ~ - A ? ^ Q ? ? ? F ~ ? ? ? ? ? ? ? H ? ? ? ,A ~ F H ~ ^ Q - - 
~M-O|V^~P,[-[~M][|O[^V[~P]]]],- ~ M | O ^ V ~ P ,- ~ | M ? O ^ ? ? ? ? ? V ~ ? ? ? ? ? ? ? P ? ,M ~ O V P ~ ^ | - 
~L-X^W,[-[~L][^XW]],- ~ L ^ X W ,- ~ ^ L ? X W ,L ~ X W ^ - 
~E-W-~G-J,[-[~E][-W[-[~G]J]]],- ~ E - W - ~ G J ,- ~ - E ? W - ? ? ? ? ? ~ J ? ? ? ? ? G ? ? ? ,E ~ W G ~ J - - - 
~Z|~O|~U,[|[|[~Z][~O]][~U]],| | ~ Z ~ O ~ U ,| | ~ ~ ~ U ? Z ? O ? ? ? ? ,Z ~ O ~ | U ~ | 
S^~C-~D,[-[^S[~C]][~D]],- ^ S ~ C ~ D ,- ^ ~ S ~ D ? ? ? C ? ? ? ? ,S C ~ ^ D ~ - 
~X^~E-~R,[-[^[~X][~E]][~R]],- ^ ~ X ~ E ~ R ,- ^ ~ ~ ~ R ? X ? E ? ? ? ? ,X ~ E ~ ^ R ~ - 
~O^D|C,[|[^[~O]D]C],| ^ ~ O D C ,| ^ C ~ D ? ? O ? ? ? ? ? ,O ~ D ^ C | 
S|D|~Q,[|[|SD][~Q]],| | S D ~ Q ,| | ~ S D Q ? ,S D | Q ~ | 
P-O-W^~A-~O,[-P[-O[-[^W[~A]][~O]]]],- P - O - ^ W ~ A ~ O ,- P - ? ? O - ? ? ? ? ^ ~ ? ? ? ? W ~ O ? ? ? ? ? ? ? A ? ? ? ? ,P O W A ~ ^ O ~ - - - 
I^~H|K-~B^R,[-[|[^I[~H]]K][^[~B]R]],- | ^ I ~ H K ^ ~ B R ,- | ^ ^ K ~ R I ~ ? ? B ? ? ? ? ? H ? ? ? ? ? ? ? ? ,I H ~ ^ K | B ~ R ^ - 
X^T-N|X,[-[^XT][|NX]],- ^ X T | N X ,- ^ | X T N X ,X T ^ N X | - 
F-~M^Q|~H,[-F[|[^[~M]Q][~H]]],- F | ^ ~ M Q ~ H ,- F | ? ? ^ ~ ? ? ~ Q H ? ? ? M ? ? ? ? ? ? ,F M ~ Q ^ H ~ | - 
~D^~C-V^~V|N,[-[^[~D][~C]][|[^V[~V]]N]],- ^ ~ D ~ C | ^ V ~ V N ,- ^ | ~ ~ ^ N D ? C ? V ~ ? ? ? ? ? ? ? ? ? ? V ? ? ? ,D ~ C ~ ^ V V ~ ^ N | - 
F^~Q^X|I|~V,[|[|[^[^F[~Q]]X]I][~V]],| | ^ ^ F ~ Q X I ~ V ,| | ~ ^ I V ? ^ X ? ? ? ? ? F ~ ? ? ? ? ? ? ? ? ? Q ? ? ? ? ? ? ? ? ,F Q ~ ^ X ^ I | V ~ | 
~E-~Y-~Q,[-[~E][-[~Y][~Q]]],- ~ E - ~ Y ~ Q ,- ~ - E ? ~ ~ ? ? ? Y ? Q ? ,E ~ Y ~ Q ~ - - 
~P^O|~K^~R^~C,[|[^[~P]O][^[^[~K][~R]][~C]]],| ^ ~ P O ^ ^ ~ K ~ R ~ C ,| ^ ^ ~ O ^ ~ P ? ? ? ~ ~ C ? ? ? ? ? ? K ? R ? ? ? ? ,P ~ O ^ K ~ R ~ ^ C ~ ^ | 
~D|~G-A^~O^~R,[-[|[~D][~G]][^[^A[~O]][~R]]],- | ~ D ~ G ^ ^ A ~ O ~ R ,- | ^ ~ ~ ^ ~ D ? G ? A ~ R ? ? ? ? ? ? ? ? ? O ? ? ? ? ,D ~ G ~ | A O ~ ^ R ~ ^ - 
U^~J-Y^J|B,[-[^U[~J]][|[^YJ]B]],- ^ U ~ J | ^ Y J B ,- ^ | U ~ ^ B ? ? J ? Y J ? ? ,U J ~ ^ Y J ^ B | - 
T^J|~C|~S,[|[|[^TJ][~C]][~S]],| | ^ T J ~ C ~ S ,| | ~ ^ ~ S ? T J C ? ? ? ? ,T J ^ C ~ | S ~ | 
V-E|~Y|S,[-V[|[|E[~Y]]S]],- V | | E ~ Y S ,- V | ? ? | S ? ? E ~ ? ? ? ? ? ? Y ? ? ? ,V E Y ~ | S | - 
~Y^~Q^W,[^[^[~Y][~Q]]W],^ ^ ~ Y ~ Q W ,^ ^ W ~ ~ ? ? Y ? Q ? ? ? ,Y ~ Q ~ ^ W ^ 
~X^Y|~L^~E,[|[^[~X]Y][^[~L][~E]]],| ^ ~ X Y ^ ~ L ~ E ,| ^ ^ ~ Y ~ ~ X ? ? ? L ? E ? ,X ~ Y ^ L ~ E ~ ^ | 
~A-~P|~R,[-[~A][|[~P][~R]]],- ~ A | ~ P ~ R ,- ~ | A ? ~ ~ ? ? ? P ? R ? ,A ~ P ~ R ~ | - 
P-L-W,[-P[-LW]],#NAME?,- P - ? ? L W ,P L W - - 
S^~Q-~U^~X^~M,[-[^S[~Q]][^[^[~U][~X]][~M]]],- ^ S ~ Q ^ ^ ~ U ~ X ~ M ,- ^ ^ S ~ ^ ~ ? ? Q ? ~ ~ M ? ? ? ? ? ? U ? X ? ? ? ? ,S Q ~ ^ U ~ X ~ ^ M ~ ^ - 
W-~B-~Y,[-W[-[~B][~Y]]],- W - ~ B ~ Y ,- W - ? ? ~ ~ ? ? B ? Y ? ,W B ~ Y ~ - - 
X^~T-P-~S,[-[^X[~T]][-P[~S]]],- ^ X ~ T - P ~ S ,- ^ - X ~ P ~ ? ? T ? ? ? S ? ,X T ~ ^ P S ~ - - 
~Y-~F-~V,[-[~Y][-[~F][~V]]],- ~ Y - ~ F ~ V ,- ~ - Y ? ~ ~ ? ? ? F ? V ? ,Y ~ F ~ V ~ - - 
~Z-~F-A|~X,[-[~Z][-[~F][|A[~X]]]],- ~ Z - ~ F | A ~ X ,- ~ - Z ? ~ | ? ? ? F ? A ~ ? ? ? ? ? ? ? ? X ? ,Z ~ F ~ A X ~ | - - 
~U-~N^~P^~N,[-[~U][^[^[~N][~P]][~N]]],- ~ U ^ ^ ~ N ~ P ~ N ,- ~ ^ U ? ^ ~ ? ? ? ~ ~ N ? ? ? ? N ? P ? ? ? ? ,U ~ N ~ P ~ ^ N ~ ^ - 
~X-S^J,[-[~X][^SJ]],- ~ X ^ S J ,- ~ ^ X ? S J ,X ~ S J ^ - 
C^~Z^~N-J,[-[^[^C[~Z]][~N]]J],- ^ ^ C ~ Z ~ N J ,- ^ J ^ ~ ? ? C ~ N ? ? ? ? ? Z ? ? ? ? ? ? ,C Z ~ ^ N ~ ^ J - 
G^~H-H,[-[^G[~H]]H],- ^ G ~ H H ,- ^ H G ~ ? ? ? ? H ? ? ? ,G H ~ ^ H - 
O|~T-R|P|~Y,[-[|O[~T]][|[|RP][~Y]]],- | O ~ T | | R P ~ Y ,- | | O ~ | ~ ? ? T ? R P Y ? ,O T ~ | R P | Y ~ | - 
R^~X-~M-~Q|E,[-[^R[~X]][-[~M][|[~Q]E]]],- ^ R ~ X - ~ M | ~ Q E ,- ^ - R ~ ~ | ? ? X ? M ? ~ E ? ? ? ? ? ? ? ? Q ? ? ? ,R X ~ ^ M ~ Q ~ E | - - 
G|S^I|V,[|[|G[^SI]]V],| | G ^ S I V ,| | V G ^ ? ? ? ? S I ? ? ,G S I ^ | V | 
E^Z|Q-~Q,[-[|[^EZ]Q][~Q]],- | ^ E Z Q ~ Q ,- | ~ ^ Q Q ? E Z ? ? ? ? ? ,E Z ^ Q | Q ~ - 
D|X^~S-~O-A,[-[|D[^X[~S]]][-[~O]A]],- | D ^ X ~ S - ~ O A ,- | - D ^ ~ A ? ? X ~ O ? ? ? ? ? ? ? S ? ? ? ? ? ? ,D X S ~ ^ | O ~ A - - 
E-V^O-R^~J,[-E[-[^VO][^R[~J]]]],- E - ^ V O ^ R ~ J ,- E - ? ? ^ ^ ? ? V O R ~ ? ? ? ? ? ? ? ? J ? ,E V O ^ R J ~ ^ - - 
R-~J-~U|~W^~X,[-R[-[~J][|[~U][^[~W][~X]]]]],- R - ~ J | ~ U ^ ~ W ~ X ,- R - ? ? ~ | ? ? J ? ~ ^ ? ? ? ? ? U ? ~ ~ ? ? ? ? ? ? ? ? W ? X ? ,R J ~ U ~ W ~ X ~ ^ | - - 
~Y-G^F-E^~E,[-[~Y][-[^GF][^E[~E]]]],- ~ Y - ^ G F ^ E ~ E ,- ~ - Y ? ^ ^ ? ? ? G F E ~ ? ? ? ? ? ? ? ? ? E ? ,Y ~ G F ^ E E ~ ^ - - 
